City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gigmoto,PH,13.7796,124.39,79.12,95,100,29.19
1,Orcotuna,PE,-11.9667,-75.3333,55.92,42,17,2.46
2,Erzin,TR,36.9559,36.2,63.86,34,11,3.56
3,Thompson,CA,55.7435,-97.8558,41.16,60,75,10.36
4,Chuy,UY,-33.6971,-53.4616,63.63,76,68,8.68
5,Kapaa,US,22.0752,-159.319,85.98,76,75,10.36
6,Busselton,AU,-33.65,115.3333,53.98,78,100,13.11
7,Albany,US,42.6001,-73.9662,41.72,72,100,1.54
8,Rikitea,PF,-23.1203,-134.9692,73.85,80,100,8.77
9,Georgetown,MY,5.4112,100.3354,80.24,90,20,3.44
10,Panjab,AF,34.388,67.0233,34.36,45,0,3.51
11,Souillac,MU,-20.5167,57.5167,71.98,88,75,3.44
12,New Norfolk,AU,-42.7826,147.0587,56.71,67,73,5.01
13,Kasamwa,TZ,-2.85,32.4333,67.89,84,98,2.73
14,Tasiilaq,GL,65.6145,-37.6368,34.5,85,100,5.32
15,Port Alfred,ZA,-33.5906,26.891,62.19,85,99,7.0
16,Freeport,US,40.6576,-73.5832,53.96,64,75,1.01
17,Wyndham,US,37.6985,-77.6125,57.11,78,100,3.0
18,Sao Gabriel,BR,-30.3364,-54.32,64.62,55,0,4.72
19,Luderitz,NA,-26.6481,15.1594,58.03,86,0,10.83
20,Beringovskiy,RU,63.05,179.3167,14.76,69,19,14.5
21,Punta Arenas,CL,-53.15,-70.9167,39.31,87,40,24.16
22,Faanui,PF,-16.4833,-151.75,79.86,74,25,10.51
23,Port Blair,IN,11.6667,92.75,81.95,78,95,9.48
24,Suntar,RU,62.1444,117.6319,17.35,82,100,5.06
25,Jamestown,US,42.097,-79.2353,42.19,47,100,1.01
26,Tiksi,RU,71.6872,128.8694,1.76,94,94,10.76
27,Sitka,US,57.0531,-135.33,39.09,81,100,10.36
28,East London,ZA,-33.0153,27.9116,63.86,77,100,21.72
29,Ahipara,NZ,-35.1667,173.1667,70.88,71,59,12.66
