City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Gigmoto,PH,79.12,13.7796,124.39,Cj's Travellers Inn
5,Kapaa,US,85.98,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Georgetown,MY,80.24,5.4112,100.3354,Cititel Penang
22,Faanui,PF,79.86,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,Port Blair,IN,81.95,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
31,Marovoay,MG,75.97,-16.1,46.6333,Hôtel les Oliviers Marovoay
36,Mataura,NZ,75.29,-46.1927,168.8643,Ellie's Villa
37,Belmonte,BR,76.24,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
40,Kahului,US,89.62,20.8947,-156.47,Maui Seaside Hotel
53,Kilindoni,TZ,76.96,-7.9139,39.6668,Bustani B&B
55,Vaini,TO,78.96,-21.2,-175.2,Keleti Beach Resort
56,Butaritari,KI,81.82,3.0707,172.7902,Isles Sunset Lodge
58,Avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
68,Nena,PH,80.33,11.7658,125.4178,C-Side
70,Praia,CV,79.34,14.9215,-23.5087,LT Aparthotel
75,Abonnema,NG,76.95,4.7084,6.7931,Corper's Lodge Obonoma
76,Kankon,IN,79.52,15.0167,74.0167,Palolem Beach Resort
77,Gizo,SB,83.77,-8.103,156.8419,Imagination Island
79,Bathsheba,BB,79.41,13.2167,-59.5167,Atlantis Hotel
87,Hobyo,SO,78.82,5.3505,48.5268,Halane Hotel and Restaurent
88,Umm Kaddadah,SD,77.88,13.6017,26.6876,
89,Lucea,JM,80.46,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
92,Atuona,PF,76.93,-9.8,-139.0333,Villa Enata
94,Dubai,AE,78.73,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
97,Sao Filipe,CV,80.19,14.8961,-24.4956,Hotel Xaguate
99,Male,MV,81.32,4.1748,73.5089,Hotel Octave Maldives
100,Bucerias,MX,75.33,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
101,Merauke,ID,88.5,-8.4667,140.3333,
106,Brandon,US,79.12,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
109,Isangel,VU,82.29,-19.55,169.2667,Tanna Lodge
118,Pianco,BR,82.54,-7.1981,-37.9292,Via hotel
122,Soyo,AO,77.9,-6.1349,12.3689,Hospedaria ndozi'ame
130,Sal Rei,CV,78.57,16.1833,-22.9167,Marine Club Beach Resort
134,Olinda,BR,80.33,-8.0089,-34.8553,Flat Quatro Rodas Olinda
136,Pontian Kecil,MY,83.01,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
137,Mecca,SA,78.85,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
143,Oum Hadjer,TD,79.5,13.2954,19.6966,
145,Alofi,NU,77.27,-19.0595,-169.9187,Taloa Heights
152,Ballina,AU,80.78,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
157,Hilo,US,83.25,19.7297,-155.09,Hilo Hawaiian Hotel
167,Gushikawa,JP,78.03,26.3544,127.8686,Kirari Guest House
179,The Valley,AI,82.81,18.217,-63.0578,CeBlue Villas & Beach Resort
181,Bonthe,SL,77.77,7.5264,-12.505,Bonthe Holiday Village
184,Altamira,BR,78.31,-3.2033,-52.2064,Requinte Hotel
186,Makakilo City,US,81.45,21.3469,-158.0858,Marriott's Ko Olina Beach Club
202,Tautira,PF,78.04,-17.7333,-149.15,Pension Oaoa
219,Morondava,MG,75.79,-20.2833,44.2833,La Case Bambou
223,Cabo San Lucas,MX,81.05,22.8909,-109.9124,Hotel Tesoro Los Cabos
226,Sao Joao Da Barra,BR,75.16,-21.6403,-41.0511,Pousada Porto De Canoas
228,Cockburn Town,TC,82.78,21.4612,-71.1419,Osprey Beach Hotel
230,Bandarbeyla,SO,78.3,9.4942,50.8122,JABIR HOTEL
234,Lagos,NG,76.08,6.5833,3.75,
